"Dataset","Methods","ctd","out","mue","u_mue","mse","u_mse","rmsd","u_rmsd","q95hd","u_q95hd","hrmode","u_hrmode","skew","u_skew","skewgm","u_skewgm","skewgm_mcf","u_skewgm_mcf","kurt","u_kurt","kurtcs","u_kurtcs","gini","u_gini","gimc","u_gimc","bmax","u_bmax","gmax","u_gmax"
"BOR2019","LDA",-1,FALSE,1.16724,0.0482,1.1522,0.0489,1.06929,0.0928,3.18296,0.214,0.86385,0.14,2.7092,0.594,0.31021,0.0414,0.487905,0.063,16.1898,5.77,1.56658,0.483,0.424184,0.0152,0.533714,0.0213,0.853763,0.107,0.533811,0.0174
"BOR2019","LDA + SOC",-1,FALSE,1.23873,0.0481,1.23097,0.0486,1.06156,0.0932,3.25798,0.217,1.19965,0.196,2.76636,0.608,0.316502,0.0442,0.433963,0.0587,16.6756,5.98,1.65478,0.487,0.399935,0.0149,0.501526,0.0221,0.867935,0.104,0.5367,0.0177
"BOR2019","PBE",-1,FALSE,1.05231,0.0457,1.02669,0.0468,1.02609,0.0931,2.95378,0.196,0.69495,0.153,2.79388,0.664,0.291826,0.0432,0.5106,0.0623,17.5791,6.59,1.60366,0.489,0.441884,0.0157,0.5353,0.0209,0.664067,0.0965,0.536013,0.0177
"BOR2019","PBE + SOC",-1,FALSE,1.12481,0.0458,1.1138,0.0463,1.01439,0.094,3.03968,0.202,0.7578,0.189,2.9045,0.683,0.307119,0.0434,0.527506,0.0615,18.4525,6.94,1.6426,0.496,0.415279,0.0154,0.534282,0.0223,0.730058,0.109,0.534795,0.0179
"BOR2019","PBE_SOL",-1,FALSE,1.11718,0.0467,1.0986,0.0475,1.03887,0.0892,3.08067,0.196,0.91605,0.14,2.64754,0.594,0.286924,0.0421,0.443893,0.0664,15.8296,5.69,1.52439,0.485,0.430521,0.0152,0.52237,0.0203,0.732542,0.111,0.531442,0.0172
"BOR2019","HLE16",-1,FALSE,0.598837,0.0366,0.373684,0.042,0.89549,0.0837,1.88369,0.181,-0.01815,0.0788,2.73748,0.542,0.326427,0.0443,0.48676,0.0421,17.316,4.25,1.58272,0.459,0.540123,0.0183,0.539695,0.0187,0.00854908,0.0368,0.540084,0.0182
"BOR2019","HLE16 + SOC",-1,FALSE,0.610154,0.0378,0.511231,0.0402,0.859537,0.0889,1.95172,0.186,0.0692,0.104,3.1985,0.597,0.372047,0.0432,0.567491,0.0405,21.0064,5.28,1.6353,0.466,0.550126,0.0177,0.559937,0.0195,0.087347,0.0471,0.560455,0.0178
"BOR2019","BJ",-1,FALSE,0.791054,0.0374,0.727175,0.0395,0.869424,0.0729,2.31211,0.199,0.42405,0.0486,2.52924,0.517,0.315805,0.0449,0.501964,0.0408,14.7336,4.61,1.74085,0.474,0.467394,0.0162,0.536268,0.0186,0.424152,0.0364,0.536268,0.0179
"BOR2019","mBJ",-1,FALSE,0.496558,0.0252,0.222117,0.0307,0.683475,0.0506,1.40589,0.0806,0.06635,0.0894,1.49368,0.516,0.164629,0.0414,0.417035,0.0494,10.421,3.2,0.721048,0.323,0.490029,0.0159,0.490896,0.0181,0.0664004,0.0606,0.490896,0.016
"BOR2019","SCAN",-1,FALSE,0.813099,0.0394,0.742661,0.0415,0.919748,0.0852,2.43176,0.191,0.46595,0.145,2.78981,0.675,0.280436,0.0432,0.505799,0.0495,18.0373,6.57,1.57666,0.475,0.473365,0.0168,0.528603,0.02,0.395875,0.0723,0.531901,0.0176
