"","Ref","mu=0","mu=0.5","mu=1","mu=1.5","mu=2","mu=2.5","mu=3","mu=3.5","mu=4","mu=4.5","mu=5"
"1",0,-0.482827312595043,-1.92514682230046,-1.01354238421142,-1.58336999140422,-2.44021364918779,-2.12179584668724,-3.02682051995117,-2.67080082947055,-2.76855911232038,-3.5820235388475,-4.36166117092583
"2",0,-1.81865184920222,-0.397243415814843,-1.2495743894845,-1.79877358231892,-1.34633449230843,-1.30891308295932,-3.22035650985881,-2.11545620254289,-3.19227316828813,-4.33558235071063,-6.1816088903831
"3",0,-0.848456508533284,0.0612653394697383,-1.33640195701926,-0.30290611132252,-2.68539230448839,-3.49893981868138,-4.76872892962419,-4.71464149515452,-3.6710801801354,-3.40924701525948,-3.85820480657561
"4",0,-0.758155820809287,0.518177276479492,1.76266409718431,-1.88743801245343,-1.92161797005547,-2.11692578157167,-2.80689153393776,-1.49955017379228,-4.62867112013907,-3.39986861158668,-4.25216798048964
"5",0,0.0225085531461351,1.25809136037554,-0.41783801971794,-2.56684144276397,-0.990624816388785,-3.86783555045105,-3.44827699062614,-3.98130950447327,-4.49686082816688,-4.2734079351528,-5.40957795744331
"6",0,0.282883907238415,1.54209983756386,-1.46033533779635,-2.26790807900049,-3.01834659560961,-2.43064726672041,-2.32971852816939,-2.45666054209152,-2.91889223243205,-4.33180677950929,-4.06252717775189
"7",0,1.01893547837559,1.20702787038015,-1.16941182877568,-0.634622637889481,-2.50208535894369,0.199485174820527,-3.78687337892675,-2.56079914904963,-1.90228896377844,-4.66715039592302,-5.24277809564652
"8",0,0.957844170261735,-0.849909530733755,-2.20338602516263,-1.60515931586095,-1.69943936976974,-0.804228063251091,-4.74483885383339,-3.77078544841495,-4.36208506561855,-3.94770408820558,-5.40731910169535
"9",0,-1.18003058574361,0.706758236041973,0.0912471094695058,-2.83165047957563,-3.23006086006344,-1.77473616720493,-2.69414047261583,-1.75199792634652,-2.46124315701678,-3.76536212855721,-6.40922737226814
"10",0,1.45425868265044,-1.09263609119433,-0.603282922951815,-2.93958119586648,-3.00524511174488,-2.77163465698106,-4.41992252525648,-3.56460161423083,-4.14993181247831,-3.89506092939596,-5.74528085134067
"11",0,1.16532090796518,-0.181604750088726,-1.82011170805463,-2.09179004966925,-1.38611660809448,-2.36065399762002,-0.77054600797476,-4.08998114986422,-4.81207724477717,-3.66640133813673,-6.28634766130372
"12",0,-0.738693734009234,-1.36998806079511,-0.805656337665961,-0.686857433622716,0.0773677682952885,-0.831159734623123,-1.58266275166622,-3.15162526341188,-4.41527626652976,-3.89529884136686,-5.43869637608816
"13",0,1.13234061632225,0.518512920915895,-0.90588809324921,-1.55809806980887,-3.29281456774178,-2.82257294880879,-3.08555256560695,-4.00959926508468,-5.13834248938305,-6.12074608129378,-4.87159572498495
"14",0,1.248983284272,0.623439673162944,1.25803345256629,-3.47380904041222,-0.631888321075819,-3.31398028443914,-4.4793101344601,-4.53828620125947,-4.85515920699698,-5.30427324198601,-5.3805332083589
"15",0,-0.264294417595457,-1.44178921507759,-1.64611744494373,-4.2504676676915,-1.79201301440917,-2.81601079973758,-3.84436529896499,-3.02430385064854,-5.11739868141252,-5.43173232356761,-4.50520156241919
"16",0,1.37577391195621,0.0611866050281992,0.754865460879706,0.707965502878019,-0.562424394905884,-4.75336947736336,-1.92242967740638,-4.50514728557474,-4.47978873485077,-4.18812707103342,-5.52685736062097
"17",0,-1.21621644824539,-1.09331059123427,-1.66181431700215,-0.364719912749697,-2.52386657116681,-1.39425472894627,-2.59233812315931,-3.33946155911062,-4.45761164328716,-2.83382430585128,-4.89269113055879
"18",0,-0.734390991961267,-2.16501431116425,-2.33528504792774,0.833939738523696,-4.25537962028821,0.550188126863647,-2.01782471947733,-2.24642563164097,-4.11856140601053,-5.04336186261152,-3.16018578847543
"19",0,-1.07972052201919,-3.27706568286724,-0.694251505003817,-3.24946896264418,-1.93838225193759,-1.88831238360362,-3.64981625383372,-2.61383561259284,-3.06007922894135,-5.25929295639079,-3.4319702201463
"20",0,0.259662749789076,-0.298893329295027,-0.709720692363875,-1.10183319780271,-2.39756329436183,-1.51817548548764,-5.09173277672158,-2.6747106434544,-4.30248065827315,-6.61906243773883,-5.45872352664701
"21",0,0.13548597600407,0.530251221110005,-1.072145216771,-0.628792989138714,-1.6490007114482,-3.72055250955345,-3.41141220881026,-4.43217683517745,-3.20759951493707,-6.16674795050658,-6.16279855135309
"22",0,-0.796573812525896,-1.30452107425345,0.447859568904942,-1.08198748818942,-1.69842265626145,-1.36438687128935,-2.90157972172573,-3.44387390053083,-3.5959631183375,-4.48426223828557,-3.19986663934476
"23",0,-0.0961658761101376,-1.47616675377183,-1.32171791489069,-0.872358579295569,-1.33623984837001,-3.02908467855893,-3.10595796978404,-4.89377897592311,-3.28171216339167,-4.79947600392526,-5.07219948311858
"24",0,0.688936746142765,-0.349388499871005,1.18455542174955,-0.769561421067938,0.172747357652029,-2.19372436549676,-2.7675449553567,-4.77295089113357,-3.77512822481841,-4.66254927034469,-2.84706967546946
"25",0,-0.448386548776761,-1.61940055339518,-1.46736910403464,-2.54820887159541,-1.6395909442703,-4.15692785763268,-1.52225751346153,-5.97571692124053,-4.7492517712246,-4.91540614126565,-4.83451974086707
"26",0,-0.0359654912688849,0.750379411614105,-0.874403076136543,-1.09585790131268,-0.902828356229656,-3.80519569018622,-3.81416645541358,-4.96411826643736,-4.93357859382188,-6.25411334671868,-3.99086864403579
"27",0,-1.23210509010106,-0.0832493137630158,-2.74462430713805,-2.99436509858337,-1.74830793341815,-0.915324540378152,-3.90216130685566,-2.89746019045351,-4.07755874636585,-4.2897370092601,-5.13650481727994
"28",0,1.77945745120159,-0.0255011277370313,-0.225620137277877,-2.15548443931106,0.495882486833035,-2.44583882943947,-3.08779296334064,-3.21291018869317,-3.61278041158049,-3.10286373617288,-4.12954493927825
"29",0,0.630116943511286,0.345981675104753,-0.415456166168744,-1.91292449398827,-2.04932493032093,-4.11283043470338,-3.33617581022347,-3.34493718555351,-4.25385534411125,-4.04863883462561,-3.89855782769634
"30",0,0.788400849257502,-2.29544444665479,-0.0307043610441875,0.948334115895592,-3.24068634326311,-0.743858593871655,-1.91363204338448,-3.41760275676702,-4.12644081520903,-4.41631017575023,-5.9223763851779
"31",0,-0.480315959331424,-2.17831532780108,0.189908773268162,-1.96447514721308,-2.21404611034019,-0.341719271653461,-3.45546044014875,-1.84249450961687,-4.23983726600691,-5.11295519471078,-3.91350340277776
"32",0,0.698961159036806,1.68378728736593,-0.526541960301205,-1.40685403005386,-1.18268469142324,-1.21194564298994,-2.25331073646086,-2.13581849954458,-3.17484059342933,-3.43398455323618,-3.29461157827724
"33",0,-0.975939619473521,0.0689381421824762,0.997911040296443,-1.05295253274342,-1.95413083195811,-3.3075705659167,-2.85644669555873,-6.19752863870221,-4.05617524646735,-3.55009813508695,-4.652878087554
"34",0,0.515485691884295,0.0140862343561112,-1.55676242200667,0.168924698361489,-1.21861346409722,-3.01173383979351,-4.68524399185321,-4.04004477754412,-2.70597464982773,-5.94035356960177,-3.87890785580794
"35",0,-0.461199301945525,-1.08068451334601,-1.40543439455782,-2.41842958575586,-1.06324834254075,-2.83531807010569,-3.6760348955166,-3.3244014458579,-4.50648865388551,-6.10258045051925,-6.33940056788667
"36",0,0.641915714173684,-2.21528721890046,-1.91859593994881,-0.0946105913116184,-3.19755276653426,-0.818836676696207,-2.63991817206665,-2.82406584521514,-2.43870814900945,-4.11403092775806,-4.73141852624095
"37",0,-0.754589457604781,0.628970225892433,0.440753985966471,-2.66153648159756,-0.921109572031057,-1.93134140165034,-1.84546192750517,-2.2452620878457,-2.39473144321319,-6.2253140895499,-4.59092595916752
"38",0,0.550409598577715,-1.08720996344925,-0.627664715588736,-0.298551741255653,-0.808940635874074,-2.59527551684996,-2.77020487970256,-1.92074229141867,-3.48251324919381,-3.65701021604447,-6.07495368395621
"39",0,-0.166103164347528,1.07794523526129,-1.79454716705954,-1.17620406752913,-4.10247210201624,-2.53847386538935,-4.41365871012343,-4.49636984760817,-4.33050192456188,-5.74432328341625,-4.76520470002171
"40",0,0.785461460685784,-1.25168097161567,-1.37964518714027,-0.135789218887208,-2.45674960994595,-1.89936388729684,-2.59668443603776,-3.08637244494999,-4.20742347371021,-4.70295384984574,-4.24238221651468
"41",0,-0.0140887723462359,-2.10330002652101,-0.781903237707458,-0.788824786859144,-0.947126774394899,-4.39854534183644,-2.39354145792932,-4.55369529707313,-3.23464243805273,-3.66460384435241,-4.85263938464731
"42",0,-0.699159495844724,0.908926047374218,-1.80992574556761,-1.89007136737135,-0.183589031514676,-0.621896514428449,-1.89327115190771,-3.75607242487923,-2.23357543352003,-3.84569585967326,-5.28089706703417
"43",0,-0.241280457209626,-0.111719337049217,-2.56776946716847,-1.72609329761692,-4.44755604611561,-2.73749662658961,-3.38596851103449,-1.80413699374971,-4.93542220335967,-4.15556069851442,-3.5761618033055
"44",0,-0.650710339781264,0.132018220103006,-1.42150968711589,-0.682514477285247,-2.09076164526363,-4.14379719473102,-3.41394808997286,-1.10738749767315,-4.17690941248559,-5.00418099846418,-4.55095182884157
"45",0,1.95034573218044,-0.762611005192133,-0.405436706492483,-2.02323593321501,-1.0598986481168,-3.07056309379645,-2.33440640301916,-4.2769438092145,-4.66923444530532,-4.49429082805009,-3.73355171968429
"46",0,0.162100783692492,1.34974614346219,-2.02242782146308,-1.16203720229657,-0.912802101750034,-1.50390231106042,-2.911198037899,-4.93622389802984,-2.94672080547134,-3.83641361016183,-5.40096092418199
"47",0,-0.448336390362312,1.22858097399755,-0.955881373804174,-2.94381462550906,-2.80056646363574,-1.69532752699997,-4.40526644339604,-3.33097720405746,-4.79090568015654,-5.7132120342701,-4.04945183750255
"48",0,-0.710309241230807,0.109654466015846,-1.20919803344016,-3.96004806359844,-0.544682282183869,-2.06806925634276,-2.55627607775697,-3.42718458502021,-3.77461196908676,-5.83123932809538,-4.5625670861703
"49",0,1.83054478802078,-0.658326658605006,-1.64178629525345,-1.1344846390517,-2.46832748549612,-1.99089056474937,-4.3551616123404,-4.1911652100995,-4.53415188716177,-4.84537826223122,-3.54617654254348
"50",0,1.01217550455666,-2.44080401255339,-0.650497907938179,-2.51203317485152,-2.73097308648604,-4.94320641946614,-3.37692600107731,-3.95259340336392,-5.8865972166687,-5.6733874193579,-5.17809284997625
"51",0,1.3209418005571,-0.326480981407889,-0.502698388914666,-1.25467524544573,-3.10428643381126,-1.89591696258969,-3.75297188755023,-3.0527891166809,-3.41663708093493,-4.31576972974859,-3.81979555514679
"52",0,-0.923900734549002,0.900189823393065,-0.787759156254956,-0.87844446792826,-2.09133054481879,-4.25708733665245,-4.82987799368204,-3.98544545288559,-5.4930270984701,-3.05942666285608,-4.13491621965243
"53",0,-0.918310896036204,-0.449029207484656,-1.29093463252787,-0.971769906740214,-1.1265359729387,-1.86854408274618,-2.60562486102644,-2.83045790536709,-3.69843769241879,-4.85676369517722,-4.05457839397088
"54",0,-0.784656031495846,-0.390314168419414,-1.28797679936661,-1.70749805418418,-2.29807704754345,-1.02402723413853,-3.26282185881516,-1.98854283663623,-3.7323676390205,-3.15829346566206,-3.86855409299843
"55",0,-0.411897293725005,-1.4818694455783,-1.08350809263507,-2.29364521715294,-2.24108358765782,-2.36515506422573,-3.07522932071128,-4.60165895202521,-4.15582504350549,-6.01487261530623,-4.7135507884246
"56",0,1.4993731246152,-0.024002474919646,-0.843496860790418,-0.644173756359197,-0.27836669865669,-2.06167742305773,-3.28805658969304,-5.26554684304751,-4.67595367110473,-5.60287049029339,-3.06000671245301
