"","Ref","df=1","df=2","df=3","df=4","df=5","df=6","df=7","df=8","df=9","df=10","df=20","df=50","df=100"
"1",0,-3.85553259777474,-1.81250632919527,-2.54620262199429,-1.00855329169773,-2.94592599265033,-0.81599870219956,-2.88420402189148,-0.554673155490909,0.113871238896287,-2.31362623115078,-1.11304244791883,-2.29017369402781,-1.08127394297809
"2",0,-2.1263505462525,-1.25101784174121,-1.45390328385192,-3.29150756820365,-1.61143189422215,-1.05739081189916,-2.15993419288163,0.598944679966701,-1.05808567214432,-2.81642589220097,-1.77218474552367,-1.16675892639341,-2.1788960065204
"3",0,-6.5842760704851,-2.0095972768672,-3.02165199571616,-2.33715919169617,-3.08556484378095,-3.03741782877276,-1.66697358146248,-2.02153093377101,-1.06812914745058,-1.25666846666261,-3.76373583020139,-1.54326077357816,-2.44007748606851
"4",0,-0.959250531335571,0.622029173919819,-0.531877746682975,-3.22605976250749,-1.65285036514106,-2.28459544295558,-2.13436166132508,-2.51970701334759,-3.97552825419629,-2.64849602291259,-1.47331004473054,-3.06802660234853,-0.295316609985314
"5",0,-3.51954409382596,0.535027781877859,-1.22846008622466,-3.14408620459021,-1.32464457300512,-1.85758271833667,-1.80986096762816,-1.15317347944339,-2.17702524121819,-2.56933234580169,-1.78413264950268,-1.66589895746785,-1.68381679452036
"6",0,-2.09651216330949,-3.99673996386677,-2.3364745239916,-3.61271244804336,-3.12596434949125,-1.88118073893215,-1.57047405230119,-1.64207746184036,-2.38371104603528,-2.2781688600713,-1.68468047667346,-1.53777005645268,-3.36540028016142
"7",0,-2.34203011785256,-2.10491650461716,-0.787704344735556,-2.0149288246321,-1.79578858176836,-0.562682819456501,-5.18564578429584,0.824650924804016,-2.18059920086652,-2.08667438949125,-1.0299278733604,0.225758207244874,-3.23356032742343
"8",0,-2.35006421677745,-0.793686907648892,-1.72398235747719,-1.6725326904224,-1.85826113170177,-1.51239575381361,-1.72228827585998,0.0757581325474637,-1.2353365140231,-2.14300017240289,-1.20278559963751,-2.38369249477442,-2.36390802851694
"9",0,-13.4732389253677,-3.04540523677611,-2.62105804504778,-1.44081636894467,-1.15358972904778,-0.934082483483692,-1.67089703797762,-1.93557566696886,-1.47614940447169,-2.87167653858954,-2.32648058931853,-2.05591338914746,-1.88476395962699
"10",0,-1.93070910697232,-1.26767843060836,-1.13126650558356,-2.34603871826793,-2.05405290020055,-2.27981056370219,-1.84400695908488,-2.81723183122315,-2.98521247794089,-1.79312775619765,-2.02573835462019,-2.915394623446,-3.30059785666104
"11",0,-10.1758325774796,-2.73456212080541,-3.12432718993251,-0.674921440336123,-2.35407072390647,-3.01197866197405,-1.38489401784153,-0.751477343959387,-1.9817409714201,-3.01504732942393,-1.17352646427282,-2.59879376940064,-2.0833257148784
"12",0,-1.93338793029716,-2.17865251016041,-2.55153694256114,-0.254742890510074,-3.41591832799464,-2.13017813108414,-3.13371854933521,-1.73465496792633,-1.28710363877264,-2.09220097658244,-0.957841212156115,-1.76754764337752,-1.13971119381299
