"","Ref","PBE","B3LYP","M11","revM11"
"1",96.2,124.2,104.5,110.6,101.6
"2",57.6,61.8,53.4,48.8,58.3
"3",33.1,37.7,23.4,17.5,41.9
"4",55.7,55.3,46.9,49.9,44
"5",204.5,242.6,205.8,212.6,223
"6",389.6,415.6,387.3,389.2,394.2
"7",192.4,195.7,187.4,187.7,186.7
"8",259.6,277.1,249.1,250.8,254.9
"9",259.4,268.3,254.7,257.6,260.1
"10",125.7,139.6,125.4,125.1,127.1
"11",64.8,79.9,64.9,64.3,65.8
"12",38.3,51.2,35.6,34.7,39.9
"13",228.5,243,229,232,234.5
"14",120.4,142.8,123,118.8,127.7
"15",152.7,171.8,154.7,155.1,161.2
"16",181.3,197,179,176,177
"17",67.4,76.9,60,48.3,58.1
"18",146.9,93.6,119.2,109.5,127.6
"19",26.6,41.2,16.3,14.8,19.2
"20",25.8,28.4,12.9,8.1,16.2
"21",41.7,53,40.4,40.5,43.9
"22",101.7,115.6,102.9,110.8,104.8
"23",564.2,629.8,556.2,563.6,549.2
"24",90.2,88.9,85.8,90.3,89.2
"25",247.6,254.9,226.7,219.4,221.7
"26",366.8,369.4,340.4,395.7,359.5
"27",1230.1,1309.7,1189.7,1185.3,1217.2
"28",90.2,86.4,80.1,89.4,85.4
"29",151,182.1,151.1,158.5,151.3
"30",88.7,89.5,81.1,90.6,86.6
"31",106.9,128.3,102.4,111.1,98.4
"32",76.3,90.8,73,50.3,64.7
"33",147.4,193,122.2,100.8,115.2
"37",344.2,370.3,329.2,332.6,339.3
"38",240.8,244.5,236.6,241.4,238.6
"39",602.2,621.7,578,590.8,596.2
"40",309.9,303.9,291.9,308.6,301.9
"41",429.6,425.8,415.8,438.6,426.8
"42",85,84.3,80,92.4,86
"43",65.2,68.5,64.8,70.2,66.1
"44",113.9,109.4,109,110.8,109.2
"45",121.6,119.8,116.2,118.5,116.6
"46",25.2,30.5,22.6,39.8,20.6
"47",53.5,52.5,46.9,64.3,54.7
"48",97.4,96.9,91.7,97.8,96.8
"49",95,89.6,85,92.6,92.7
"50",89.8,86.8,82.1,90.3,91.8
"51",91.5,83.7,79.7,89.3,91.3
"52",108.9,104.9,106.4,108.6,108
"53",95.9,93.1,88.2,94.9,94.5
"54",95.3,86.3,82.1,90.6,92.5
"55",100.3,99.6,93.3,99.7,101.3
"56",103.9,97.3,99.6,102.2,102.7
