"","Ref","PBE","B3LYP","M11","revM11"
"1",2.502,2.522,2.52,2.535,2.501
"2",1.414,1.432,1.424,1.422,1.419
"3",2.046,2.063,2.077,2.043,2.035
"4",2.53,2.559,2.584,2.556,2.554
"5",1.988,2.011,2.016,1.987,1.978
"6",0.741,0.751,0.743,0.751,0.742
"7",0.917,0.929,0.922,0.923,0.923
"8",2.143,2.157,2.151,2.134,2.118
"9",1.098,1.103,1.091,1.084,1.088
"10",0.97,0.983,0.974,0.973,0.974
"11",1.4777,1.4852,1.48,1.4805,1.4788
"12",1.4714,1.4776,1.47,1.4578,1.4527
"13",1.0805,1.0918,1.083,1.0847,1.084
"14",1.0791,1.0908,1.0819,1.0838,1.0829
"15",1.0126,1.023,1.0134,1.0104,1.0134
"16",1.3919,1.3974,1.0819,1.0844,1.3861
"17",1.0795,1.0909,1.0819,1.0844,1.0836
"18",1.3386,1.3443,1.3344,1.3263,1.3253
"19",1.0793,1.0895,1.0808,1.0838,1.0829
"20",1.0815,1.092,1.0831,1.0862,1.0852
"21",1.4543,1.4514,1.4527,1.4614,1.4645
"22",1.0839,1.0952,1.0858,1.0881,1.0868
"23",1.7519,1.7824,1.7794,1.7637,1.7595
"24",1.3286,1.3447,1.3342,1.3365,1.3304
"25",1.3234,1.3265,1.3172,1.3121,1.3126
"26",1.0768,1.0875,1.079,1.0812,1.0806
"27",1.0782,1.0886,1.0801,1.0826,1.082
"28",1.0784,1.091,1.0811,1.0848,1.0834
"29",1.3412,1.3561,1.3494,1.3508,1.3437
"30",1.7642,1.7855,1.7862,1.7733,1.7655
"31",1.081,1.0916,1.0817,1.0848,1.0836
"32",1.0842,1.0957,1.0855,1.0888,1.087
"33",1.3591,1.3738,1.3654,1.3685,1.3605
"34",1.7645,1.791,1.7908,1.7763,1.7695
"35",1.3533,1.3723,1.3633,1.3645,1.3576
"36",1.0867,1.1004,1.0899,1.0931,1.0907
"37",1.7558,1.7884,1.7847,1.7684,1.7639
"38",1.3363,1.3534,1.3435,1.3457,1.3395
"39",1.0849,1.0969,1.0864,1.0905,1.0879
"40",1.3266,1.3325,1.3215,1.3154,1.3162
"41",1.0795,1.0869,1.0774,1.0799,1.0794
"42",1.7124,1.7264,1.7295,1.7214,1.7182
"43",1.0776,1.0901,1.0805,1.0838,1.0827
"44",1.3306,1.3447,1.3379,1.3391,1.3325
"45",1.4809,1.4837,1.4817,1.4879,1.4901
"46",1.1021,1.1184,1.107,1.1079,1.105
"47",1.2102,1.2205,1.2095,1.2037,1.2037
"48",1.0807,1.093,1.0837,1.0853,1.0845
"49",1.3368,1.3404,1.331,1.3234,1.3228
"50",1.08,1.0917,1.0823,1.0863,1.0845
"51",1.0786,1.0897,1.0811,1.0841,1.0829
"52",1.3485,1.3619,1.352,1.3471,1.3442
"53",0.9619,0.9751,0.9652,0.961,0.9641
"54",1.191,1.2013,1.191,1.1875,1.1885
"55",1.0985,1.1132,1.1024,1.1051,1.1021
"56",1.3509,1.3613,1.3489,1.336,1.3344
"57",1.451,1.4451,1.4476,1.4581,1.462
"58",1.0813,1.0943,1.085,1.0875,1.0866
"59",1.3418,1.3475,1.337,1.3281,1.3268
"60",1.0866,1.0932,1.0836,1.0857,1.0844
"61",1.0815,1.0921,1.0831,1.0863,1.0852
"62",1.08,1.0894,1.0807,1.0838,1.0829
"63",1.4358,1.4485,1.4417,1.4356,1.4279
"64",1.3343,1.3499,1.3382,1.3326,1.331
"65",1.0845,1.0935,1.0849,1.0876,1.0865
"66",1.0875,1.0971,1.0881,1.0913,1.09
"67",1.2001,1.2102,1.2002,1.1972,1.1977
"68",1.0925,1.1068,1.0967,1.0995,1.0965
"69",1.5646,1.5708,1.57,1.5648,1.5603
"70",1.5149,1.5162,1.5154,1.5139,1.513
"71",1.0892,1.1004,1.0914,1.0919,1.0912
"72",1.3409,1.3455,1.3349,1.3284,1.3279
"73",1.0801,1.0911,1.0819,1.0843,1.0832
"74",1.5031,1.5088,1.0807,1.5012,1.4975
"75",1.0787,1.0892,1.0807,1.082,1.0818
"76",1.4074,1.4174,1.4116,1.4082,1.4017
"77",1.0855,1.0968,1.0881,1.0905,1.0889
"78",1.0949,1.1067,1.0971,1.0994,1.0982
"79",1.514,1.5094,1.4985,1.4576,1.4523
"80",1.385,1.3977,1.3879,1.3834,1.3787
"81",1.085,1.0982,1.0879,1.09,1.0877
"82",1.3317,1.3329,1.3248,1.3203,1.3199
"83",1.0805,1.0913,1.0825,1.0851,1.0839
"84",1.3316,1.3346,1.325,1.32,1.3196
"85",1.077,1.0868,1.0784,1.0807,1.0804
"86",1.0812,1.0892,1.0807,1.0829,1.0825
"87",1.3598,1.3738,1.3681,1.3633,1.3612
"88",1.0798,1.0939,1.0843,1.0877,1.0863
"89",0.9605,0.9691,0.9601,0.9568,0.9596
"90",1.3542,1.3644,1.3547,1.3504,1.3479
"91",1.4344,1.4334,1.4322,1.4312,1.4336
"92",1.0743,1.0848,1.076,1.0784,1.078
"93",1.3598,1.3693,1.3618,1.3532,1.3509
"94",1.0739,1.0835,1.0746,1.0782,1.0775
"95",1.5014,1.5039,1.5031,1.5058,1.5075
"96",1.2083,1.2183,1.2065,1.2022,1.2025
"97",1.1011,1.1156,1.1055,1.1064,1.1035
"98",1.397,1.403,1.3997,1.3953,1.3905
"99",1.0964,1.1097,1.0992,1.0998,1.0984
"100",0.9618,0.9813,0.969,0.9662,0.9685
"101",1.5211,1.5384,1.5341,1.5369,1.5391
"102",1.2087,1.207,1.1963,1.1907,1.1916
"103",1.0963,1.1147,1.1032,1.1052,1.102
"104",1.3317,1.347,1.336,1.3293,1.3273
"105",1.1977,1.2151,1.2035,1.1979,1.1987
"106",0.9697,0.9793,0.9694,0.9659,0.9691
"107",1.3075,1.3078,1.0831,1.2971,1.2984
"108",1.08,1.092,1.0831,1.0845,1.0838
"109",1.2051,1.2096,1.2002,1.1969,1.1982
"110",1.1002,1.1173,1.1058,1.1076,1.1036
"111",0.9572,0.9703,0.9618,0.9581,0.961
"112",1.061,1.0699,1.0614,1.0658,1.066
"113",1.207,1.2174,1.2042,1.1967,1.196
"114",1.3726,1.3608,1.3638,1.3776,1.3858
"115",1.0611,1.0703,1.0616,1.0656,1.0658
"116",1.2036,1.2072,1.1963,1.192,1.192
"117",1.1536,1.1583,1.146,1.1396,1.1414
"118",1.0645,1.0749,1.0656,1.069,1.0685
