"","Ref","PBE","B3LYP","M11","revM11"
"1",3.7,3.6,3.8,3.6,3.6
"2",4.5,4.4,4.7,5,5
"3",4.7,4.9,5.1,5.4,5.3
"4",2.3,1.9,2.3,2.8,2.7
"5",6.3,6.1,6.1,6.1,6
"6",5.2,4.9,4.7,4.5,4.5
"7",2.8,1.8,2.4,2.7,2.7
"8",8.1,7.8,8,7.8,7.8
"9",2.7,2,2.4,2.4,2.5
"10",4.3,3.9,4.2,4.6,4.5
"11",3.2,2.9,3.2,3.3,3.3
"12",4.5,4.2,4.6,4.8,4.8
"13",4,2.9,3.5,3.8,3.9
"14",2,2.1,2.2,1.9,2
"15",1.6,1.5,1.4,0.8,1.1
"16",4.28,4.14,4.26,3.92,3.91
"17",6.82,5.39,6.17,6.28,7.03
"18",7.46,5.86,6.66,6.94,7.75
"19",7.75,6.18,6.88,7.08,7.96
"20",8.43,6.58,7.31,7.91,8.74
"21",8.69,6.64,7.42,7.94,8.89
"22",4.43,4.22,4.38,4.09,4.05
"23",6.36,4.9,5.73,6.05,6.79
"24",7.36,5.76,6.59,6.67,7.66
"25",7.41,5.63,6.5,6.92,7.85
"26",7.49,5.85,6.67,6.87,7.79
"27",7.8,6.16,7.07,7.85,8.49
"28",8.09,6.02,6.91,7.37,8.23
"29",8.17,6.21,7.12,7.66,8.62
"30",7.11,6.3,6.49,6.48,7.2
"31",7.65,7.22,7.31,7.37,7.5
"32",7.8,6.77,6.99,6.91,7.77
"33",7.9,6.73,6.98,7.01,7.95
"34",8.28,7.06,7.32,7.58,8.26
"35",8.62,7.32,7.64,7.88,8.79
"36",8.9,7.51,7.81,8.56,9.21
"37",9.08,8.13,8.35,8.76,9.29
"38",9.2,7.73,8.08,8.89,9.42
"39",9.33,7.93,8.08,8.59,9.32
"40",9.51,9.45,9.63,10.01,10.61
"41",4,3.8,3.92,3.56,3.62
"42",7.08,5.74,6.44,6.42,7.17
"43",7.97,6.51,7.22,7.16,7.93
"44",8.14,6.38,7.17,7.23,8.07
"45",8.37,6.64,7.42,7.26,8.23
"46",8.88,6.78,7.68,8.35,9.23
"47",9,8.82,8.96,8.7,8.78
"48",9.22,8,8.68,8.76,9.65
"49",9.26,7.73,8.46,8.78,9.48
"50",9.58,7.87,8.57,9.23,9.69
"51",9.63,7.86,8.57,8.86,9.58
"52",6.17,5.27,5.6,5.76,6.53
"53",6.7,5.87,6.17,6.27,6.82
"54",3.83,3.57,3.97,4.02,4.07
"55",4.81,5.23,5.33,5.46,5.36
"56",5.46,5.14,5.6,5.71,5.74
"57",6.1,5.59,6.42,7.11,7.19
"58",6.51,6.4,6.46,6.67,6.62
"59",3.6,3.13,3.59,3.69,3.7
"60",5,5.46,5.6,5.77,5.69
"61",5.3,3.5,4.16,4.53,4.55
"62",6,5.45,6.12,6.47,6.54
"63",6.5,6.32,6.28,6.63,6.84
"64",4.59,4.37,4.82,4.92,4.97
"65",4.99,5.33,5.47,5.62,5.56
"66",5.43,4.46,5.12,5.5,5.53
"67",6.38,6.18,6.26,6.42,6.46
"68",3.85,3.79,4.29,4.47,4.52
"69",4.62,4.01,4.61,4.91,4.95
"70",5.12,5.58,5.73,5.89,5.82
"71",5.52,5.12,5.69,5.92,5.96
"72",5.9,5.33,5.97,6.27,6.32
"73",6.7,6.43,6.53,6.78,6.76
"74",2.25,1.84,2.26,2.33,2.34
"75",3.4,2.81,3.48,3.86,3.9
"76",5,4.63,5.1,5.32,5.38
"77",6.34,5.63,6.31,6.6,6.71
"78",5.91,5.4,5.54,5.79,5.88
"79",6.22,5.39,5.57,5.53,6.3
"80",6.66,5.67,5.88,5.98,6.82
"81",7.07,6.23,6.41,6.51,7.17
"82",7.36,6.18,6.43,6.55,7.48
"83",7.62,6.54,6.75,7.16,7.8
"84",8,7.02,7.2,7.76,8.44
"85",3.6,1.5,2.1,3.6,4
"86",3.4,1.4,1.8,3.3,3.7
"87",3.2,1.1,1.5,3.1,3.5
"88",2.6,0.4,0.9,2.6,3
"90",10.2,8.1,8.5,8.4,9
"91",20.6,17.6,18.6,18,18.3
"92",1.9,2,2,1.9,1.8
"93",5.3,5,4.9,5,5
"94",5,4.1,4.5,4.3,5
"95",16.7,15.9,16.6,16.9,16.4
"96",2.1,2.1,2.2,1.9,2.1
"97",4.4,4.2,4.3,4.2,4.1
"98",3.1,2.7,2.8,2.9,3.3
"99",11.7,11,11.4,11.5,12.6
"100",1.6,1.6,1.7,1.3,1.6
"101",2.1,2.1,2.3,2.4,2.4
"102",3.3,2.6,3,3.8,3.9
"103",2.6,1,1.5,3.9,4.2
"104",3,3.2,3.1,3,3.1
"105",4.4,2.2,3.2,5.3,5.5
"106",10.9,5.2,6.8,11.4,10.8
"107",7.7,0.1,2.2,6.4,6.9
