"Dataset","Methods","ctd","out","mue","u_mue","mse","u_mse","q95hd","u_q95hd","hrmode","u_hrmode","skewgm","u_skewgm","kurtcs","u_kurtcs","gimc","u_gimc"
"ZHA2018","PBE",-1,FALSE,0.21057,0.0098,-0.20545,0.01,0.46667,0.034,-0.251,0.073,-0.043216,0.064,-0.17465,0.28,0.40806,0.018
"ZHA2018","SCAN",-1,FALSE,0.10245,0.0069,-0.016541,0.0097,0.29072,0.021,-0.028,0.017,-0.0067994,0.067,1.4905,0.53,0.50297,0.019
"ZHA2018","PBE",0,FALSE,0.11947,0.0062,1.224e-18,0.01,0.29594,0.031,-0.045546,0.073,-0.043216,0.064,-0.17465,0.28,0.40806,0.018
"ZHA2018","SCAN",0,FALSE,0.10108,0.007,2.1371e-18,0.0097,0.29064,0.02,-0.011459,0.017,-0.0067994,0.067,1.4905,0.53,0.50297,0.019
"ZHA2018","PBE",1,FALSE,0.092325,0.0061,9.1728e-19,0.0086,0.28741,0.038,0.061382,0.053,-0.13775,0.071,1.0163,0.43,0.47879,0.024
"ZHA2018","SCAN",1,FALSE,0.091706,0.0063,-1.271e-18,0.0087,0.27631,0.026,0.058594,0.041,-0.082315,0.067,1.2716,0.41,0.47527,0.02
"ZHA2018","PBE",-1,TRUE,0.20709,0.0096,-0.20378,0.01,0.44201,0.029,-0.251,0.077,-0.030564,0.068,-0.34368,0.25,0.39892,0.019
"ZHA2018","SCAN",-1,TRUE,0.09676,0.0064,-0.016417,0.0098,0.27021,0.015,-0.016,0.017,-0.0058981,0.067,1.2931,0.53,0.497,0.02
"ZHA2018","PBE",0,TRUE,0.11407,0.0057,1.5811e-18,0.01,0.25862,0.026,-0.047219,0.077,-0.030564,0.068,-0.34368,0.25,0.39892,0.019
"ZHA2018","SCAN",0,TRUE,0.095363,0.0064,3.9811e-18,0.0098,0.2709,0.014,0.00041667,0.017,-0.0058981,0.067,1.2931,0.53,0.497,0.02
"ZHA2018","PBE",1,TRUE,0.08565,0.0051,1.6887e-18,0.0083,0.24716,0.032,0.043143,0.049,-0.12838,0.072,0.73866,0.37,0.45996,0.023
"ZHA2018","SCAN",1,TRUE,0.085853,0.0055,4.0118e-18,0.0086,0.24738,0.019,0.057928,0.038,-0.085321,0.065,0.92056,0.37,0.46465,0.021
