"Dataset","Methods","ctd","out","mue","u_mue","mse","u_mse","rmsd","u_rmsd","skew","u_skew","kurt","u_kurt","kurtcs","u_kurtcs","q95hd","u_q95hd","gini","u_gini","lasym","u_lasym","pietra","u_pietra"
"Ref_NormBias","mu=0",-1,FALSE,0.78596,0.019,-0.0043665,0.031,0.98521,0.022,-0.0060063,0.069,2.8402,0.11,-0.073381,0.12,1.9358,0.05,0.4178,0.0079,0.82538,0.018,0.30696,0.0067
"Ref_NormBias","mu=0.5",-1,FALSE,0.90907,0.022,0.51864,0.032,1.0091,0.021,0.0013584,0.064,2.7963,0.11,-0.047885,0.11,2.1909,0.039,0.4143,0.0084,0.83562,0.018,0.30412,0.0069
"Ref_NormBias","mu=1",-1,FALSE,1.188,0.026,1.0389,0.032,1.0043,0.024,0.056535,0.092,3.3101,0.18,0.21715,0.14,2.7178,0.057,0.38562,0.0081,0.8149,0.018,0.27946,0.0066
"Ref_NormBias","mu=1.5",-1,FALSE,1.5348,0.029,1.4766,0.032,0.99869,0.022,0.031434,0.08,3.0445,0.14,-0.016457,0.12,3.1059,0.08,0.33468,0.0073,0.81438,0.019,0.24179,0.0059
"Ref_NormBias","mu=2",-1,FALSE,2.0511,0.03,2.029,0.031,1.0303,0.022,-0.037718,0.073,2.9138,0.14,-0.044219,0.11,3.7478,0.059,0.2737,0.0063,0.85053,0.018,0.19693,0.0049
"Ref_NormBias","mu=2.5",-1,FALSE,2.4649,0.031,2.4598,0.031,0.97224,0.023,0.054027,0.082,3.1463,0.17,0.18537,0.12,4.1221,0.072,0.21949,0.0054,0.86565,0.02,0.15423,0.004
"Ref_NormBias","mu=3",-1,FALSE,3.0181,0.029,3.0168,0.029,0.97947,0.022,-0.10393,0.075,2.9375,0.15,-0.020498,0.13,4.61,0.058,0.18274,0.0046,0.8471,0.02,0.12875,0.0035
"Ref_NormBias","mu=3.5",-1,FALSE,3.4925,0.032,3.4925,0.032,1.0455,0.022,-0.059666,0.062,2.7505,0.098,-0.058193,0.11,5.1817,0.062,0.16955,0.0041,0.86242,0.019,0.12003,0.0031
"Ref_NormBias","mu=4",-1,FALSE,3.9641,0.031,3.9641,0.031,0.97163,0.022,-0.070885,0.078,3.1133,0.14,0.17197,0.13,5.5203,0.065,0.13759,0.0034,0.88808,0.02,0.096348,0.0025
"Ref_NormBias","mu=4.5",-1,FALSE,4.4888,0.033,4.4888,0.033,1.0395,0.022,0.11243,0.063,2.7931,0.11,-0.073682,0.12,6.2574,0.064,0.13102,0.003,0.93032,0.019,0.09261,0.0023
"Ref_NormBias","mu=5",-1,FALSE,4.9947,0.031,4.9947,0.031,0.97973,0.024,-0.034364,0.088,3.1175,0.19,-0.053032,0.11,6.545,0.055,0.11043,0.0028,0.92067,0.021,0.078069,0.002
"Ref_Student","df=1",-1,FALSE,6.603,1.8,1.2135,1.9,58.379,23,21.471,11,606.46,210,11.21,2.2,14.909,2.3,0.86318,0.037,1.0909,0.014,0.72295,0.05
"Ref_Student","df=2",-1,FALSE,1.4148,0.086,0.13807,0.098,3.1192,0.53,-2.2786,4.7,123.84,40,2.2902,0.39,4.5124,0.29,0.58122,0.021,0.97885,0.03,0.42036,0.016
"Ref_Student","df=3",-1,FALSE,1.1072,0.055,0.054768,0.064,2.0425,0.45,9.9333,4.9,214.16,96,1.2749,0.22,3.1672,0.14,0.50497,0.019,0.93213,0.033,0.36435,0.013
