"Dataset","Methods","ctd","out","mue","u_mue","mse","u_mse","rmsd","u_rmsd","hrmode","u_hrmode","skew","u_skew","kurt","u_kurt","kurtcs","u_kurtcs","q95hd","u_q95hd","gini","u_gini","lasym","u_lasym","pietra","u_pietra"
"Ref_NormBias","mu=0",-2,FALSE,0.80582,0.02,0.20669,0.031,0.98521,0.022,-1.3878e-17,0.16,-0.0060063,0.069,2.8402,0.11,-0.073381,0.12,1.9348,0.059,0.41409,0.0082,0.81726,0.018,0.30307,0.0069
"Ref_NormBias","mu=0.5",-2,FALSE,0.81733,0.02,0.13482,0.032,1.0091,0.021,0,0.3,0.0013584,0.064,2.7963,0.11,-0.047885,0.11,1.9526,0.047,0.41063,0.0082,0.84534,0.017,0.30133,0.0068
"Ref_NormBias","mu=1",-2,FALSE,0.7976,0.02,0.1751,0.032,1.0043,0.024,-5.5511e-17,0.22,0.056535,0.092,3.3101,0.18,0.21715,0.14,2.0518,0.057,0.42988,0.0082,0.8673,0.019,0.31231,0.0068
"Ref_NormBias","mu=1.5",-2,FALSE,0.79678,0.018,0.037383,0.032,0.99869,0.022,-1.1102e-16,0.27,0.031434,0.08,3.0445,0.14,-0.016457,0.12,1.9817,0.07,0.41289,0.0085,0.847,0.017,0.29982,0.0071
"Ref_NormBias","mu=2",-2,FALSE,0.89739,0.021,0.4599,0.031,1.0303,0.022,0,0.26,-0.037718,0.073,2.9138,0.14,-0.044219,0.11,2.2243,0.055,0.42149,0.0079,0.8052,0.017,0.31056,0.0069
"Ref_NormBias","mu=2.5",-2,FALSE,0.76517,0.019,0.013885,0.031,0.97224,0.023,0,0.18,0.054027,0.082,3.1463,0.17,0.18537,0.12,1.9284,0.043,0.42744,0.0081,0.86126,0.018,0.31385,0.0066
"Ref_NormBias","mu=3",-2,FALSE,0.77907,0.019,-0.068853,0.029,0.97947,0.022,0,0.2,-0.10393,0.075,2.9375,0.15,-0.020498,0.13,1.9095,0.052,0.42201,0.0081,0.81877,0.018,0.30974,0.0069
"Ref_NormBias","mu=3.5",-2,FALSE,0.84163,0.02,0.0665,0.032,1.0455,0.022,0,0.22,-0.059666,0.062,2.7505,0.098,-0.058193,0.11,2.0457,0.052,0.411,0.0079,0.85146,0.017,0.30173,0.0067
"Ref_NormBias","mu=4",-2,FALSE,0.76582,0.019,0.052436,0.031,0.97163,0.022,0,0.17,-0.070885,0.078,3.1133,0.14,0.17197,0.13,1.9515,0.055,0.42791,0.0084,0.86107,0.017,0.31319,0.007
"Ref_NormBias","mu=4.5",-2,FALSE,0.83349,0.02,-0.047803,0.033,1.0395,0.022,0,0.17,0.11243,0.063,2.7931,0.11,-0.073682,0.12,2.0168,0.051,0.41452,0.008,0.8211,0.018,0.30392,0.0068
"Ref_NormBias","mu=5",-2,FALSE,0.78036,0.019,0.033728,0.031,0.97973,0.024,0,0.2,-0.034364,0.088,3.1175,0.19,-0.053032,0.11,1.9029,0.046,0.41484,0.0084,0.83865,0.018,0.30123,0.0069
"Ref_Student","df=1",-2,FALSE,6.6082,1.8,1.064,1.9,58.379,23,0,0.21,21.471,11,606.46,210,11.21,2.2,14.939,2.3,0.86301,0.037,1.0965,0.014,0.72247,0.05
"Ref_Student","df=2",-2,FALSE,1.4215,0.086,0.23743,0.098,3.1192,0.53,0,0.12,-2.2786,4.7,123.84,40,2.2902,0.39,4.5735,0.27,0.57964,0.021,0.99807,0.027,0.42,0.016
"Ref_Student","df=3",-2,FALSE,1.1073,0.055,0.077225,0.064,2.0425,0.45,-1.7347e-18,0.21,9.9333,4.9,214.16,96,1.2749,0.22,3.1642,0.14,0.50515,0.019,0.9282,0.033,0.36447,0.013
"Ref_Student","df=4",-2,FALSE,1.0907,0.036,0.5287,0.047,1.4933,0.095,-5.5511e-17,0.23,1.5145,0.73,16.744,5,0.79183,0.2,3.0203,0.13,0.48155,0.012,0.91759,0.02,0.34836,0.0085
"Ref_Student","df=5",-2,FALSE,0.91489,0.028,-0.16198,0.043,1.2801,0.086,-1.3878e-17,0.26,1.1565,1.1,19.674,9.6,0.5244,0.21,2.4478,0.12,0.45863,0.012,0.90032,0.019,0.33064,0.0086
"Ref_Student","df=6",-2,FALSE,0.97917,0.026,-0.45573,0.035,1.1744,0.032,0,0.3,0.13346,0.12,3.8497,0.31,0.29315,0.14,2.5385,0.075,0.43603,0.0086,0.84466,0.018,0.31735,0.0072
"Ref_Student","df=7",-2,FALSE,0.87986,0.023,-0.1158,0.035,1.1309,0.03,0,0.26,0.030901,0.13,3.9062,0.3,0.31658,0.15,2.3187,0.093,0.43204,0.0084,0.8916,0.018,0.31234,0.0067
"Ref_Student","df=8",-2,FALSE,0.87628,0.025,-0.10884,0.036,1.1653,0.039,0,0.15,0.3173,0.22,5.3394,0.72,0.53455,0.17,2.3025,0.096,0.4538,0.0093,0.87609,0.019,0.32882,0.0075
"Ref_Student","df=9",-2,FALSE,0.87017,0.023,0.087655,0.036,1.1233,0.03,0,0.17,0.029496,0.13,3.9053,0.43,0.27271,0.14,2.2968,0.091,0.43648,0.009,0.86306,0.019,0.3161,0.0074
"Ref_Student","df=10",-2,FALSE,0.91654,0.024,0.43307,0.036,1.0933,0.03,0,0.38,-0.16786,0.13,3.8881,0.33,0.22633,0.17,2.3415,0.06,0.434,0.0084,0.88034,0.019,0.31577,0.0069
"Ref_Student","df=20",-2,FALSE,0.86694,0.021,0.11359,0.035,1.0836,0.025,0,0.16,0.029006,0.086,3.1152,0.17,-0.019001,0.12,2.1827,0.064,0.41496,0.0086,0.81344,0.018,0.3007,0.0071
"Ref_Student","df=50",-2,FALSE,0.82822,0.02,0.1597,0.032,1.0276,0.023,1.3878e-17,0.28,-0.017722,0.08,3.0342,0.15,-0.040583,0.11,2.0139,0.061,0.41539,0.008,0.84907,0.017,0.30293,0.0066
"Ref_Student","df=100",-2,FALSE,0.79408,0.02,0.040716,0.031,1.0107,0.024,0,0.14,0.15784,0.081,3.1601,0.16,0.15213,0.14,1.976,0.057,0.43052,0.008,0.82946,0.018,0.31718,0.0068
"Ref_StudentBias1","df=1",-2,FALSE,4.5636,1.1,-0.62322,1,32.9,13,-5.5511e-17,0.21,-21.679,8,567.44,200,8.9882,1.5,11.942,1.5,0.81017,0.04,1.1006,0.017,0.65381,0.048
"Ref_StudentBias1","df=2",-2,FALSE,1.368,0.061,-0.21961,0.071,2.3386,0.16,0,0.34,-0.4658,0.79,19.119,3.6,2.6496,0.49,4.3256,0.37,0.55239,0.014,0.99347,0.023,0.39981,0.011
"Ref_StudentBias1","df=3",-2,FALSE,1.152,0.039,0.21866,0.051,1.6673,0.073,0,0.17,-0.41569,0.35,8.8959,1.3,1.3783,0.26,3.4077,0.15,0.50421,0.01,0.89164,0.018,0.369,0.0083
"Ref_StudentBias1","df=4",-2,FALSE,1.0296,0.034,0.11641,0.046,1.4588,0.072,-5.5511e-17,0.24,0.21149,0.5,10.278,2.3,0.85304,0.21,2.8357,0.16,0.47417,0.011,0.93245,0.02,0.34126,0.0082
"Ref_StudentBias1","df=5",-2,FALSE,0.96167,0.03,0.34765,0.041,1.3097,0.066,0,0.34,0.28578,0.62,11.378,3.3,0.9157,0.17,2.6494,0.12,0.47272,0.011,0.92822,0.019,0.34374,0.0079
"Ref_StudentBias1","df=6",-2,FALSE,0.93081,0.025,-0.163,0.038,1.2296,0.036,0,0.24,0.22981,0.14,4.4245,0.33,0.73539,0.2,2.5516,0.1,0.46037,0.0087,0.87989,0.018,0.33761,0.0072
"Ref_StudentBias1","df=7",-2,FALSE,0.96615,0.025,0.41498,0.039,1.1756,0.031,0,0.3,0.11261,0.11,3.7546,0.26,0.34967,0.14,2.4761,0.11,0.43523,0.0088,0.84442,0.017,0.31505,0.0074
"Ref_StudentBias1","df=8",-2,FALSE,0.89535,0.024,-0.010429,0.036,1.1732,0.035,0,0.18,-0.31616,0.17,4.4153,0.68,0.40184,0.15,2.356,0.074,0.44392,0.0088,0.87802,0.018,0.32288,0.0071
"Ref_StudentBias1","df=9",-2,FALSE,0.90528,0.022,0.30321,0.035,1.1232,0.027,-5.5511e-17,0.23,-0.12218,0.11,3.6029,0.25,0.24387,0.14,2.3584,0.078,0.4356,0.0082,0.86073,0.019,0.31772,0.0069
