"Dataset","Methods","ctd","out","mue","u_mue","mse","u_mse","rmsd","u_rmsd","q95hd","u_q95hd","hrmode","u_hrmode","skew","u_skew","skewgm","u_skewgm","skewgm_f","u_skewgm_f","skewgm_mcf","u_skewgm_mcf","kurt","u_kurt","kurtcs","u_kurtcs","kurtcs_f","u_kurtcs_f","kurtcs_mcf","u_kurtcs_mcf","gini","u_gini","gimc","u_gimc"
"BOR2019","LDA",-1,FALSE,1.1672,0.048,1.1522,0.049,1.0693,0.093,3.183,0.21,0.86385,0.14,2.7092,0.59,0.31021,0.041,0.34006,0.04,0.4879,0.063,16.19,5.8,1.5666,0.48,1.3965,0.48,2.645,0.82,0.42418,0.015,0.53371,0.021
"BOR2019","LDA + SOC",-1,FALSE,1.2387,0.048,1.231,0.049,1.0616,0.093,3.258,0.22,1.1997,0.2,2.7664,0.61,0.3165,0.044,0.33194,0.044,0.43396,0.059,16.676,6,1.6548,0.49,1.5221,0.49,1.997,0.86,0.39994,0.015,0.50153,0.022
"BOR2019","PBE",-1,FALSE,1.0523,0.046,1.0267,0.047,1.0261,0.093,2.9538,0.2,0.69495,0.15,2.7939,0.66,0.29183,0.043,0.34508,0.042,0.5106,0.062,17.579,6.6,1.6037,0.49,1.4184,0.49,2.5157,0.75,0.44188,0.016,0.5353,0.021
"BOR2019","PBE + SOC",-1,FALSE,1.1248,0.046,1.1138,0.046,1.0144,0.094,3.0397,0.2,0.7578,0.19,2.9045,0.68,0.30712,0.043,0.33018,0.042,0.52751,0.062,18.452,6.9,1.6426,0.5,1.4891,0.49,2.9489,0.88,0.41528,0.015,0.53428,0.022
"BOR2019","PBE_SOL",-1,FALSE,1.1172,0.047,1.0986,0.047,1.0389,0.089,3.0807,0.2,0.91605,0.14,2.6475,0.59,0.28692,0.042,0.32413,0.041,0.44389,0.066,15.83,5.7,1.5244,0.49,1.3578,0.48,2.2772,0.8,0.43052,0.015,0.52237,0.02
"BOR2019","HLE16",-1,FALSE,0.59884,0.037,0.37368,0.042,0.89549,0.084,1.8837,0.18,-0.01815,0.079,2.7375,0.54,0.32643,0.044,0.4853,0.042,0.48676,0.042,17.316,4.2,1.5827,0.46,1.5449,0.56,1.5628,0.57,0.54012,0.018,0.5397,0.019
"BOR2019","HLE16 + SOC",-1,FALSE,0.61015,0.038,0.51123,0.04,0.85954,0.089,1.9517,0.19,0.0692,0.1,3.1985,0.6,0.37205,0.043,0.55693,0.041,0.56749,0.041,21.006,5.3,1.6353,0.47,1.7143,0.54,1.8539,0.7,0.55013,0.018,0.55994,0.019
"BOR2019","BJ",-1,FALSE,0.79105,0.037,0.72717,0.039,0.86942,0.073,2.3121,0.2,0.42405,0.049,2.5292,0.52,0.3158,0.045,0.44512,0.046,0.50196,0.041,14.734,4.6,1.7409,0.47,1.542,0.5,2.2115,0.65,0.46739,0.016,0.53627,0.019
"BOR2019","mBJ",-1,FALSE,0.49656,0.025,0.22212,0.031,0.68348,0.051,1.4059,0.081,0.06635,0.089,1.4937,0.52,0.16463,0.041,0.41382,0.047,0.41704,0.049,10.421,3.2,0.72105,0.32,0.30238,0.33,0.25346,0.33,0.49003,0.016,0.4909,0.018
"BOR2019","SCAN",-1,FALSE,0.8131,0.039,0.74266,0.042,0.91975,0.085,2.4318,0.19,0.46595,0.15,2.7898,0.68,0.28044,0.043,0.42349,0.04,0.5058,0.05,18.037,6.6,1.5767,0.47,1.3762,0.51,2.1122,0.67,0.47337,0.017,0.5286,0.02
"BOR2019","HSE06",-1,FALSE,0.52636,0.031,0.098536,0.037,0.84744,0.075,1.6994,0.16,0.08515,0.061,2.4106,0.68,0.13874,0.051,0.51755,0.039,0.52216,0.04,16.558,5.8,2.6622,0.5,1.5509,0.51,1.0647,0.49,0.54605,0.017,0.546,0.018
"BOR2019","HSE14",-1,FALSE,0.57269,0.03,-0.17169,0.036,0.83054,0.061,1.8164,0.13,0.08515,0.2,1.1504,0.54,0.053702,0.055,0.4184,0.039,0.35466,0.087,10.811,2.4,2.3462,0.43,0.6401,0.27,0.52965,0.66,0.51165,0.015,0.49718,0.018
"BOR2019","HSE_mix",-1,FALSE,0.64283,0.032,-0.36956,0.038,0.85645,0.054,1.9721,0.13,-0.0111,0.11,-0.32023,0.45,-0.1234,0.05,0.43024,0.053,0.43951,0.066,7.9144,1.5,1.9823,0.4,0.53552,0.34,0.55438,0.45,0.51586,0.015,0.51824,0.016
"BOR2019","PBE0",-1,FALSE,0.7777,0.028,-0.47213,0.039,0.86792,0.072,1.8296,0.12,-0.55945,0.084,2.1088,0.62,0.15761,0.051,0.30558,0.049,0.56133,0.056,14.5,4.6,2.8445,0.49,0.60411,0.33,1.8083,0.56,0.37808,0.014,0.54876,0.019
"BOR2019","PBE0_mix",-1,FALSE,0.81724,0.036,-0.59525,0.043,0.96544,0.054,2.445,0.15,-0.3911,0.14,-0.83836,0.3,-0.18269,0.045,0.42553,0.035,0.48736,0.042,6.4592,0.91,1.7571,0.38,0.88046,0.39,0.83479,0.44,0.47448,0.014,0.51721,0.014
"NAR2019","G4MP2",-1,FALSE,0.7941,0.033,-0.060588,0.048,1.0567,0.046,2.209,0.087,-0.19,0.16,-0.34753,0.22,0.032961,0.046,0.43399,0.037,0.36723,0.05,4.4332,0.72,0.93653,0.26,0.047194,0.21,-0.11702,0.21,0.45723,0.012,0.46766,0.014
"NAR2019","B3LYP",-1,FALSE,3.9907,0.15,3.6137,0.17,3.6745,0.32,9.2503,0.55,3.03,0.79,1.9095,0.82,0.10259,0.046,0.23348,0.044,0.39492,0.05,15.445,6.5,0.92402,0.3,0.34564,0.28,0.75387,0.37,0.4001,0.016,0.4711,0.017
"NAR2019","M06-2X",-1,FALSE,2.7052,0.099,-0.087473,0.17,3.4561,0.2,6.0963,0.46,-3.73,1.9,1.242,0.42,0.16577,0.049,0.21266,0.052,0.22719,0.11,7.1166,2.7,-0.20508,0.18,0.080408,0.28,-0.3355,0.48,0.39486,0.014,0.45578,0.027
"NAR2019","wB97X-D",-1,FALSE,1.8543,0.092,0.52329,0.13,2.654,0.25,5.1783,0.38,-0.51,0.56,2.13,0.93,0.17815,0.044,0.36517,0.042,0.38878,0.061,17.66,7.7,0.53333,0.23,0.84303,0.37,0.87313,0.44,0.46792,0.018,0.48254,0.02
"PER2018","B3LYP",-1,FALSE,1.1819,0.09,0.97928,0.1,1.5103,0.12,4.4865,0.49,0.71038,0.11,1.614,0.3,0.30132,0.074,0.55333,0.047,0.64031,0.046,7.2574,1.1,4.9254,0.96,4.2087,0.87,2.9689,0.87,0.51491,0.02,0.61378,0.02
"PER2018","B97-1",-1,FALSE,0.85462,0.052,0.50593,0.069,1.0514,0.082,2.6704,0.35,0.83844,0.12,0.25805,0.39,-0.1229,0.077,0.29659,0.061,0.4658,0.076,6.6806,0.75,3.475,0.72,2.0429,0.56,1.2431,0.62,0.44402,0.021,0.54725,0.021
"PER2018","BH&HLYP",-1,FALSE,4.8311,0.23,4.7918,0.23,3.4953,0.24,11.744,0.61,3.0195,0.35,1.3889,0.25,0.41601,0.052,0.4349,0.049,0.58382,0.057,5.6335,1.1,0.60202,0.48,0.5611,0.47,0.7055,0.54,0.36837,0.015,0.56114,0.02
"PER2018","BLYP",-1,FALSE,1.627,0.1,0.41088,0.14,2.2323,0.17,5.3257,0.56,1.5794,0.45,-1.2904,0.27,-0.24112,0.067,0.38788,0.056,0.48364,0.072,6.5931,0.87,3.4699,0.78,2.6329,0.6,1.442,0.74,0.46465,0.02,0.55467,0.02
"PER2018","CAM-B3LYP",-1,FALSE,0.90408,0.091,0.55114,0.1,1.5431,0.12,4.1328,0.37,0.0013393,0.067,1.7781,0.26,0.57235,0.057,0.75235,0.035,0.75278,0.035,6.611,1.1,5.1012,1.3,3.3945,1.4,3.3964,1.3,0.66318,0.015,0.66299,0.016
"PER2018","LC-ωPBE",-1,FALSE,1.0939,0.095,0.73093,0.11,1.6697,0.14,4.3381,0.51,0.267,0.13,1.7247,0.35,0.44708,0.064,0.70416,0.043,0.6169,0.051,8.0118,1.8,2.8174,0.82,1.6788,0.73,2.0476,0.78,0.60329,0.018,0.60233,0.02
"PER2018","PBE",-1,FALSE,2.7916,0.16,-2.5326,0.17,2.6678,0.2,8.0647,0.83,-1.2735,0.45,-1.335,0.23,-0.21869,0.061,0.3637,0.051,0.49195,0.07,6.041,0.86,1.9695,0.52,1.3679,0.51,1.1806,0.54,0.42315,0.018,0.53174,0.023
"PER2018","PBE0",-1,FALSE,0.92456,0.074,0.23639,0.096,1.442,0.12,3.2688,0.5,-0.01,0.16,1.7744,0.21,0.34915,0.063,0.55656,0.05,0.55658,0.063,7.1871,1,2.994,0.86,1.3515,0.62,1.3774,0.71,0.56521,0.021,0.56752,0.024
"PER2018","PW86PBE",-1,FALSE,1.6352,0.12,-0.53545,0.16,2.4625,0.2,6.1354,0.89,0.83679,0.46,-1.4858,0.27,-0.26106,0.068,0.63105,0.038,0.42465,0.088,7.0637,1.1,2.6844,0.59,2.3709,0.7,1.8603,0.67,0.52769,0.021,0.53565,0.021
"SCH2018","LDA",-1,FALSE,0.71559,0.031,0.68462,0.035,0.48557,0.024,1.5148,0.07,0.6,0.22,0.14917,0.14,0.047104,0.072,0.13761,0.078,0.27584,0.075,2.8664,0.22,0.13764,0.23,-0.27681,0.2,0.091083,0.28,0.34472,0.017,0.41408,0.016
"SCH2018","PBE",-1,FALSE,0.18687,0.0099,0.093231,0.016,0.21256,0.0094,0.41837,0.023,0,0.078,-0.11044,0.12,-0.0046733,0.06,0.14606,0.072,0.14606,0.085,2.5127,0.18,-0.089637,0.22,-0.78751,0.19,-0.78751,0.29,0.4139,0.02,0.4139,0.017
"SCH2018","RPBE",-1,FALSE,0.21231,0.01,-0.17169,0.013,0.18856,0.0076,0.46332,0.021,-0.31,0.062,0.10973,0.12,0.10578,0.072,0.11013,0.081,0.24924,0.086,2.2494,0.16,-0.64345,0.2,-0.65439,0.16,-1.0051,0.23,0.37564,0.018,0.44998,0.027
"SCH2018","vdW-DF2",-1,FALSE,0.20882,0.01,0.023282,0.017,0.25419,0.011,0.50316,0.035,0.13,0.11,-0.17486,0.13,-0.084259,0.065,0.20889,0.11,0.20657,0.067,2.6425,0.19,-0.059188,0.27,-0.16135,0.19,-0.14687,0.29,0.38764,0.018,0.42454,0.02
"SCH2018","BEEF-vdW",-1,FALSE,0.14569,0.008,-0.0094872,0.013,0.18237,0.0083,0.34049,0.012,0.02,0.046,-0.16862,0.11,-0.084688,0.057,0.30803,0.073,0.32714,0.085,2.5156,0.17,-0.088302,0.27,-0.81082,0.21,-0.63785,0.22,0.42113,0.017,0.43023,0.019
"SCH2018","mBEEF",-1,FALSE,0.20559,0.0099,0.057897,0.018,0.24212,0.014,0.48625,0.03,0.27,0.068,-0.99989,0.14,-0.28841,0.054,0.14694,0.068,0.41356,0.078,3.4797,0.46,0.23825,0.32,-0.24616,0.2,0.16276,0.49,0.37626,0.018,0.50302,0.023
"SCH2018","mBEEF-vdW",-1,FALSE,0.31154,0.013,0.22621,0.021,0.2848,0.014,0.63641,0.023,0.38,0.12,-0.55838,0.13,-0.05118,0.059,0.11586,0.092,0.38483,0.1,2.9858,0.33,0.0010874,0.29,-0.52392,0.18,0.42951,0.43,0.34152,0.016,0.44431,0.022
"THA2015","M11",-1,FALSE,3.0813,0.29,0.74089,0.41,4.5132,0.49,10.103,1.5,0.95809,0.78,-0.74673,0.59,-0.046718,0.1,0.44438,0.076,0.57626,0.095,7.315,1.7,3.1787,0.87,0.93519,0.67,1.4907,0.82,0.52938,0.025,0.54359,0.026
"THA2015","M06-2X",-1,FALSE,3.1992,0.28,1.2276,0.39,4.3625,0.45,10.109,1.5,0.23417,1.2,-0.62156,0.51,-0.10563,0.091,0.3583,0.069,0.39752,0.1,6.5305,1.2,2.8278,0.75,0.89141,0.5,1.0153,1,0.49811,0.026,0.50824,0.027
"THA2015","ωB97",-1,FALSE,3.283,0.28,0.72676,0.4,4.5208,0.42,10.995,1.5,1.7722,1.4,-0.58476,0.43,-0.15273,0.087,0.33963,0.078,0.4961,0.094,5.7263,0.81,2.1408,0.67,1.2831,0.46,1.7231,0.69,0.47756,0.025,0.50999,0.028
"THA2015","LC-τHCTH",-1,FALSE,3.0309,0.27,0.37019,0.39,4.3649,0.42,10.476,1.5,-1.4149,1.3,-0.47628,0.48,-0.064929,0.089,0.5053,0.085,0.29607,0.096,6.144,0.94,2.0925,0.69,1.3894,0.5,0.75071,0.85,0.50117,0.024,0.46262,0.029
"THA2015","HISS",-1,FALSE,3.7931,0.27,2.315,0.38,4.2843,0.43,10.385,1.6,1.656,1.1,-0.55912,0.5,-0.065658,0.097,0.22836,0.075,0.45171,0.1,6.4072,1.1,2.8006,0.74,0.99089,0.5,1.2012,0.87,0.40574,0.024,0.51509,0.027
"THA2015","LC-ωPBE",-1,FALSE,3.8503,0.26,2.0045,0.4,4.481,0.43,10.515,1.4,2.6201,0.83,-0.73851,0.43,-0.17011,0.088,0.33015,0.068,0.51056,0.08,5.9436,0.94,2.4129,0.76,0.97203,0.5,1.6712,0.63,0.39874,0.023,0.53051,0.027
